"Tytuł projektu";"Kierownik projektu";"Data rozpoczęcia realizacji projektu";"Termin zakończenia";"Instytucja finansująca";"Środki finansowe ogółem (PLN)";"Rodzaj projektu";"Nazwa programu";"Instytucja/Jednostka realizująca";"Adres jednostki realizującej";"Status projektu";
"Określenie zawartości wybranych związków allelopatycznych w odmianach sorgo";"Sylwiana Nowicka";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";1743;"Inne programy";"dotacja na działalność związaną z rozwojem młodych naukowców";"
    •  Uniwersytet Przyrodniczy w Poznaniu; Wydział Rolnictwa i Bioinżynierii

";"
    •  Wojska Polskiego 28/221, Poznań

";"W trakcie realizacji";
"Wpływ szczepienia mikoryzą na rozwój roślin oraz odporność na suszę wybranych odmian ozimych pszenic orkisz i zwyczajnej";"Dominika Radzikowska";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";1743;"Inne programy";"dotacja na działalność związaną z rozwojem młodych naukowców";"
    •  Uniwersytet Przyrodniczy w Poznaniu; Wydział Rolnictwa i Bioinżynierii

";"
    •  Wojska Polskiego 28/221, Poznań

";"W trakcie realizacji";
"Ocena wpływu adiuwantów na parametry fizyko-chemiczne cieczy opryskowej zawierającej herbicydy";"Tomasz Piotr Sakowicz";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";1743;"Inne programy";"dotacja na działalność związaną z rozwojem młodych naukowców";"
    •  Uniwersytet Przyrodniczy w Poznaniu; Wydział Rolnictwa i Bioinżynierii

";"
    •  Wojska Polskiego 28/221, Poznań

";"W trakcie realizacji";
"Ocena wpływu adiuwantów na działanie herbicydów aplikowanych w buraku cukrowym";"Angelika Sobczak";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";1743;"Inne programy";"dotacja na działalność związaną z rozwojem młodych naukowców";"
    •  Uniwersytet Przyrodniczy w Poznaniu; Wydział Rolnictwa i Bioinżynierii

";"
    •  Wojska Polskiego 28/221, Poznań

";"W trakcie realizacji";
"Wpływ sposobu nawożenia na wartość pokarmową ziarna kukurydzy";"Wioletta Anna Wilczewska";"2018-01-01";"2018-12-31";"
    •  budżet - MNiSW

";1743;"Inne programy";"dotacja na działalność związaną z rozwojem młodych naukowców";"
    •  Uniwersytet Przyrodniczy w Poznaniu; Wydział Rolnictwa i Bioinżynierii

";"
    •  Wojska Polskiego 28/221, Poznań

";"W trakcie realizacji";
"Zlecenia drobne - ekspertyzy, opinie, termodynamiki, teorii maszyn i urządzeń cieplnych";"Brak";"2018-01-01";"2018-12-31";"
    •  środki przedsiębiorstw krajowych

";;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Politechnika Wrocławska; Wydział Mechaniczno-Energetyczny

";"
    •  Stanisława Wyspiańskiego 27, Wrocław

";"W trakcie realizacji";
"Opracowanie metody doświadczalnego wyznaczania współczynników obliczeniowych dla plecionych uszczelnień dławnicowych";"dr hab. JANUSZ ANDRZEJ SKRZYPACZ";"2018-01-01";"2018-04-30";"
    •  środki przedsiębiorstw krajowych

";;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Politechnika Wrocławska; Wydział Mechaniczno-Energetyczny

";"
    •  Stanisława Wyspiańskiego 27, Wrocław

";"Zakończony - Zrealizowany";
"Modelowanie in silico metabolizmu komórek nowotworowych w zastosowaniu do odkrywania leków";"dr EWELINA MARTA WĘGLARZ-TOMCZAK";"2018-01-01";"2020-12-31";"
    •  budżet - MNiSW

";;"Projekt finansowany przez ministra właściwego do spraw nauki";"Mobilność Plus; edycja 5";"
    •  Politechnika Wrocławska; Wydział Chemiczny

";"
    •  Cypriana Kamila Norwida 4/6, Wrocław

";"W trakcie realizacji";
"Opracowanie innowacyjnych, inteligentnych narzędzi monitorujących występowanie zgnilca złośliwego (amerykańskiego) oraz podwyższonego poziomu porażenia Varroa destructor w rodzinach pszczoły miodnej";"dr hab. ANDRZEJ SZCZUREK";"2018-01-01";"2020-12-31";"
    •  budżet - NCBR

";;"Projekt finansowany przez Narodowe Centrum Badań i Rozwoju";"BIOSTRATEG";"
    •  Politechnika Wrocławska; Wydział Inżynierii Środowiska

";"
    •  Plac Grunwaldzki 13, Wrocław

";"W trakcie realizacji";
"personalized approach to non-syndromic childhood obesity using multi-omics disease signature";"dr hab. Aneta Monika Gawlik";"2018-01-01";"2019-12-31";"
    •  środki organizacji międzynarodowych

";560521;"Inne programy";"Inny program (2017 ESPE Research Unit (large grant))";"
    •  Śląski Uniwersytet Medyczny w Katowicach; Wydział Lekarski w Katowicach

";"
    •  Medyków 18, Katowice

";"W trakcie realizacji";
"CEE-SIMP3";"dr GABRIELA FRANCISZKA PASZKOWSKA";"2018-01-01";"2021-03-31";"
    •  środki Komisji Europejskiej

";;"Projekt w ramach programu ramowego Unii Europejskiej";"Projekty KIC";"
    •  Politechnika Wrocławska; Wydział Geoinżynierii, Górnictwa i Geologii

";"
    •  Na Grobli 15, Wrocław

";"W trakcie realizacji";
"Zlecenia drobne - badania w zakresie energetyki, termodynamiki, teorii maszyn i urządzeń cieplnych";"prof. dr hab. ZBIGNIEW GNUTEK";"2018-01-01";"2018-12-31";"
    •  środki przedsiębiorstw krajowych

";;"Inne programy";"dotacja na utrzymanie potencjału badawczego";"
    •  Politechnika Wrocławska; Wydział Mechaniczno-Energetyczny

";"
    •  Stanisława Wyspiańskiego 27, Wrocław

";"W trakcie realizacji";
"Numeryczny system wielowariantowych modeli głowy człowieka do symulacji patofizjologii urazów czaszkowo-mózgowych.";"dr MARIUSZ TOMASZ PTAK";"2018-01-01";"2020-12-31";"
    •  budżet - NCBR

";;"Projekt finansowany przez Narodowe Centrum Badań i Rozwoju";"LIDER";"
    •  Politechnika Wrocławska; Wydział Mechaniczny

";"
    •  Ignacego Łukasiewicza 5, Wrocław

";"W trakcie realizacji";
"Prowadzenie Telefonicznej Poradni Pomocy Paloncym";"Irena Przepiórka";"2018-01-01";"2020-12-31";"
    •  inna (Ministerstwo Zdrowia, Departament Polityki Zdrowotnej)

";2123451;17;"Inne programy";"Inny program (Narodowy Program Zdrowia)";"
    •  Centrum Onkologii - Instytut im. Marii Skłodowskiej-Curie

";"
    •  Wawelska 15B, Warszawa

";"W trakcie realizacji"
"Szkolenie personelu medycznego w zakresie leczenia uzależnienia od tytoniu oraz przeprowadzania minimalnych interwencji antytytoniowych";"Irena Przepiórka";"2018-01-01";"2020-12-31";"
    •  inna (Ministerstwo Zdrowia, Departament Polityki Zdrowotnej)

";1904538;6;"Inne programy";"Inny program (Narodowy Program Zdrowia)";"
    •  Centrum Onkologii - Instytut im. Marii Skłodowskiej-Curie

";"
    •  Wawelska 15B, Warszawa

";"W trakcie realizacji"
"Opracowanie i wdrożenie nowej niskoodpadowej technologii kształtowania plastycznego stopów metali lekkich trudnoodkształcalnych z przeznaczeniem dla przemysłu lotniczego i motoryzacyjnego.";"dr Anna Dziubińska";"2018-01-01";"2020-12-31";"
    •  budżet - NCBR

";1200000;"Projekt finansowany przez Narodowe Centrum Badań i Rozwoju";"LIDER";"
    •  Politechnika Lubelska; Wydział Mechaniczny

";"
    •  Nadbystrzycka 36, Lublin

";"W trakcie realizacji";
"Analiza wpływu hipoksji na zwiększenie tolerancji na stresy u pomidora ( Lycopersicum esculentum L.) i ogórka (Cucumis sativus L.)";"dr Małgorzata Barbara Czernicka";"2018-01-01";"2018-12-31";"
    •  inna (Ministerstwo Rolnictwa i Rozwoju Wsi)

";199800;"Inne programy";"Inny program (Badania podstawowe na rzecz postępu biologicznego w prdukcji roślinnej)";"
    •  Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Biotechnologii i Ogrodnictwa

";"
    •  al. 29 Listopada 54, Kraków

";"W trakcie realizacji";
"Transfer cytoplazmatycznej męskiej sterylności poprzez somatyczną hybrydyzację u marchwi";"dr hab. Ewa Marta Grzebelus";"2018-01-01";"2018-12-31";"
    •  inna (Ministertwo Rolnictwa i Rozwoju Wsi)

";"126 tys.";"Inne programy";"Inny program (Badania podstawowe na rzecz postępu biologicznego w produkcji roślinnej)";"
    •  Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Biotechnologii i Ogrodnictwa

";"
    •  al. 29 Listopada 54, Kraków

";"W trakcie realizacji";
"Kolory Inkluzji Młodzieży Metropolitalnej - COMIN (Color Made Inclusive ).";"dr hab. Justyna Maria Siemionow";29.12.2017;28.08.2020;"
    •  środki Komisji Europejskiej

";865131;87;"Projekt w ramach programu Unii Europejskiej";"Inny program (Erasmus +)";"
    •  Uniwersytet Gdański; Wydział Nauk Społecznych

";"
    •  Jana Bażyńskiego 4, Gdańsk

";"W trakcie realizacji"
"Refleksja nad bezpieczeństwem: teoria, praktyka, implementacja.";"dr hab. Bogdan GRENDA";28.12.2017;27.12.2018;"
    •  budżet - MNiSW

";"300’000";"Projekt finansowany przez ministra właściwego do spraw nauki";"DIALOG";"
    •  Akademia Sztuki Wojennej; Wydział Bezpieczeństwa Narodowego

";"
    •  Aleja gen. Antoniego Chruściela ""Montera"" 103/bud. 25, Warszawa

";"W trakcie realizacji";
"Laboratoria nauk technicznych i ścisłych dedykowane rozwojowi potencjału badawczego w zakresie innowacyjnych rozwiązań i technologii o kluczowym znaczeniu dla gospodarki województwa kujawsko-pomorskiego.";"Brak";28.12.2017;31.12.2020;"
    •  Europejski Fundusz Rozwoju Regionalnego (EFRR)

";;"Inne programy";"Inny program (Zakup dużej infrastruktury badawczej)";"
    •  Uniwersytet Kazimierza Wielkiego w Bydgoszczy; Wydział Matematyki, Fizyki i Techniki

";"
    •  Jana Karola Chodkiewicza 30, Bydgoszcz

";"W trakcie realizacji";
"Strengthening chemical and biological waste management in Central Asia countries for improved security and safety risk mitigation";"dr MICHAŁ CEREMUGA";27.12.2017;27.12.2020;"
    •  środki UE

";12564318;2;"Projekt w ramach programu Unii Europejskiej";"Inny program (Project 65 done in Central Asia Region)";"
    •  Wojskowy Instytut Chemii i Radiometrii
    •  Wojskowy Instytut Higieny i Epidemiologii im. gen. Karola Kaczkowskiego

";"
    •  Aleja gen. Antoniego Chruściela ""Montera"" 105, Warszawa
    •  Kozielska 4, Warszawa

";"W trakcie realizacji"
"Analiza oddziaływań microRNA rodziny miR-200 z białkami Sesn w wybranych liniach komórkowych raka endometrium.";"dr Joanna Dominika Kozak";25.12.2017;24.12.2018;"
    •  budżet - NCN

";43,34;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Medyczny w Lublinie; I Wydział Lekarski z Oddziałem Stomatologicznym

";"
    •  Al.Racławickie 1, Lublin

";"W trakcie realizacji";
"Opracowanie metody produkcji selektywnegoantagonisty ludzkiej prolaktyny oraz analiza jego aktywności biologicznej";"dr Ewa Anna Ocłoń";25.12.2017;24.12.2018;"
    •  budżet - NCN

";49995;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Hodowli i Biologii Zwierząt

";"
    •  al. Mickiewicza 24/28, Kraków

";"W trakcie realizacji";
"Zarządzanie relacjami z kapitałem klienckim w sektorze MŚP w województwie opolskim. Identyfikacja stymulatorów wzrostu wartości klienta.";"dr MAŁGORZATA PATRYCJA ADAMSKA";"2017-12-23";"2018-12-22";"
    •  budżet - MNiSW

";;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Politechnika Opolska; Wydział Ekonomii i Zarządzania

";"
    •  Luboszycka 7, Opole

";"W trakcie realizacji";
"Badanie zależności optymalnych parametrów kształtu palców chwytaków od parametrów i ograniczeń narzuconych przez zadanie chwytania";"dr Adam Wolniakowski";"2017-12-23";"2018-12-22";"
    •  budżet - NCN

";22000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Politechnika Białostocka; Wydział Mechaniczny

";"
    •  Wiejska 45C, Białystok

";"W trakcie realizacji";
"Zmienność anatomiczna zębów trzonowych i związane z nią ugięcie guzków zębowych odbudowywanych przy użyciu materiałów kompozytowych";"dr Iwona Tomaszewska";"2017-12-23";"2018-12-22";"
    •  budżet - NCN

";43912;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Jagielloński w Krakowie; Collegium Medicum; Wydział Lekarski

";"
    •  św. Anny 12, Kraków

";"W trakcie realizacji";
"Horyzontalny transfer genów symbiotycznych między bakteriami rodzaju Bradyrhizobium i Rhizobium";"dr Michał Kalita";"2017-12-23";"2018-12-22";"
    •  budżet - NCN

";39050;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Biologii i Biotechnologii

";"
    •  Akademicka 19, Lublin

";"W trakcie realizacji";
"Wpływ anionowych związków powierzchniowo czynnych na efektywność wydzielania jonów metali ciężkich na jonitach różnego typu z roztworów wodnych";"dr Anna Maria Wołowicz";"2017-12-23";"2018-12-22";"
    •  budżet - NCN

";39721;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Chemii

";"
    •  pl. Marii Curie-Skłodowskiej 2, Lublin

";"W trakcie realizacji";
"Węgle aktywne z odpadów roślinnych w adsorpcji zanieczyszczeń środowiskowych";"dr Magdalena Agnieszka Błachnio";"2017-12-23";"2018-12-22";"
    •  budżet - NCN

";36311;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Chemii

";"
    •  pl. Marii Curie-Skłodowskiej 2, Lublin

";"W trakcie realizacji";
"Synteza funkcjonalizowanych mikrosfer polimerowych oraz ocena możliwości ich zastosowania w charakterze faz stacjonarnych w HPLC";"dr Marta Janina Grochowicz";"2017-12-23";"2018-12-22";"
    •  budżet - NCN

";45210;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Chemii

";"
    •  pl. Marii Curie-Skłodowskiej 2, Lublin

";"W trakcie realizacji";
"Rola enzymów antyoksydacyjnych w starzeniu komórek raka jelita grubego";"dr Halina Waś";"2017-12-23";"2018-12-22";"
    •  budżet - NCN

";49500;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Wojskowy Instytut Medyczny

";"
    •  Szaserów 128, Warszawa

";"W trakcie realizacji";
"Wpływ dyfuzji wiedzy w grupach na kompletność wyszukiwania informacji";"dr MARCIN MALESZKA";"2017-12-23";"2018-12-22";"
    •  budżet - NCN

";11000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Politechnika Wrocławska; Wydział Informatyki i Zarządzania

";"
    •  Ignacego Łukasiewicza 5, Wrocław

";"W trakcie realizacji";
"Weryfikacja empiryczna związku między zdolnością uczenia sie przedsiębiorstwa a jego wynikammi w odniesieniu do teorii zrównoważonego rozwoju";"dr ANNA HELENA ZGRZYWA-ZIEMAK";"2017-12-23";"2018-12-22";"
    •  budżet - NCN

";33000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Politechnika Wrocławska; Wydział Informatyki i Zarządzania

";"
    •  Ignacego Łukasiewicza 5, Wrocław

";"W trakcie realizacji";
"Ewolucja znaczenia Powszechnej Deklaracji Praw Człowieka w systemie źródeł prawa międzynarodowego praw człowieka.";"dr Julia Elżbieta Kapelańska-Pręgowska";"2017-12-23";"2018-12-22";"
    •  budżet - NCN

";9900;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Mikołaja Kopernika w Toruniu; Wydział Prawa i Administracji

";"
    •  Władysława Bojarskiego 3, Toruń

";"W trakcie realizacji";
"Zastosowanie zaawansowanych metod instrumentalnych w studiach nad ceramiką pradziejową. Badania pilotażowe";"dr Kamil Arnold Adamczak";"2017-12-23";"2018-12-22";"
    •  budżet - NCN

";49942;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Mikołaja Kopernika w Toruniu; Wydział Nauk Historycznych

";"
    •  Władysława Bojarskiego 1, Toruń

";"W trakcie realizacji";
"Problem zakresu refleksji moralnej w etyce cnót środowiskowych Ronalda Sandlera";"dr Dominika Joanna Dzwonkowska";"2017-12-23";"2018-12-22";"
    •  budżet - NCN

";25256;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie; Wydział Filozofii Chrześcijańskiej

";"
    •  Kazimierza Wóycickiego 1/3/bud 23, Warszawa

";"W trakcie realizacji";
"Aperiodyczne dwuwymiarowe matryce magnetycznych antykropek wytwarzane metodą litografii nanocząstek";"dr Michał Krupiński";"2017-12-22";"2018-12-21";"
    •  budżet - NCN

";44165;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego Polskiej Akademii Nauk

";"
    •  Eljasza Walerego Radzikowskiego 152, Kraków

";"W trakcie realizacji";
"Ocena immunohistochemiczna markerów nowotworów gruczołu sutkowego u suk wykorzystywanych do celów diagnostycznych i rokowniczych";"dr Izabella Dolka";"2017-12-22";"2018-12-21";"
    •  budżet - NCN

";50000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Szkoła Główna Gospodarstwa Wiejskiego w Warszawie; Wydział Medycyny Weterynaryjnej

";"
    •  Nowoursynowska 159, Warszawa

";"W trakcie realizacji";
"Badania nad wpływem dodatku białek roślinnych na zdolność żelownia i wybrane właściwości żeli inulinowych";"dr Anna Grażyna Florowska";"2017-12-22";"2018-12-21";"
    •  budżet - NCN

";22055;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Szkoła Główna Gospodarstwa Wiejskiego w Warszawie; Wydział Nauk o Żywności

";"
    •  Nowoursynowska 159C, Warszawa

";"W trakcie realizacji";
